date_key	year	quarter	month	month_name	day	day_of_week	iso_week
2023-12-04	2023	4	12	December	4	Monday	49
2023-12-05	2023	4	12	December	5	Tuesday	49
2023-12-06	2023	4	12	December	6	Wednesday	49
2023-12-07	2023	4	12	December	7	Thursday	49
2023-12-08	2023	4	12	December	8	Friday	49
2023-12-09	2023	4	12	December	9	Saturday	49
2023-12-10	2023	4	12	December	10	Sunday	49
2023-12-11	2023	4	12	December	11	Monday	50
2023-12-12	2023	4	12	December	12	Tuesday	50
2023-12-13	2023	4	12	December	13	Wednesday	50
2023-12-14	2023	4	12	December	14	Thursday	50
2023-12-15	2023	4	12	December	15	Friday	50
2023-12-16	2023	4	12	December	16	Saturday	50
2023-12-17	2023	4	12	December	17	Sunday	50
2023-12-18	2023	4	12	December	18	Monday	51
2023-12-19	2023	4	12	December	19	Tuesday	51
2023-12-20	2023	4	12	December	20	Wednesday	51
2023-12-21	2023	4	12	December	21	Thursday	51
2023-12-22	2023	4	12	December	22	Friday	51
2023-12-23	2023	4	12	December	23	Saturday	51
2023-12-24	2023	4	12	December	24	Sunday	51
2023-12-25	2023	4	12	December	25	Monday	52
2023-12-26	2023	4	12	December	26	Tuesday	52
2023-12-27	2023	4	12	December	27	Wednesday	52
2023-12-28	2023	4	12	December	28	Thursday	52
2023-12-29	2023	4	12	December	29	Friday	52
2023-12-30	2023	4	12	December	30	Saturday	52
2023-12-31	2023	4	12	December	31	Sunday	52
2024-01-01	2024	1	1	January	1	Monday	1
2024-01-02	2024	1	1	January	2	Tuesday	1
2024-01-03	2024	1	1	January	3	Wednesday	1
2024-01-04	2024	1	1	January	4	Thursday	1
2024-01-05	2024	1	1	January	5	Friday	1
2024-01-06	2024	1	1	January	6	Saturday	1
2024-01-07	2024	1	1	January	7	Sunday	1
2024-01-08	2024	1	1	January	8	Monday	2
2024-01-09	2024	1	1	January	9	Tuesday	2
2024-01-10	2024	1	1	January	10	Wednesday	2
2024-01-11	2024	1	1	January	11	Thursday	2
2024-01-12	2024	1	1	January	12	Friday	2
2024-01-13	2024	1	1	January	13	Saturday	2
2024-01-14	2024	1	1	January	14	Sunday	2
2024-01-15	2024	1	1	January	15	Monday	3
2024-01-16	2024	1	1	January	16	Tuesday	3
2024-01-17	2024	1	1	January	17	Wednesday	3
2024-01-18	2024	1	1	January	18	Thursday	3
2024-01-19	2024	1	1	January	19	Friday	3
2024-01-20	2024	1	1	January	20	Saturday	3
2024-01-21	2024	1	1	January	21	Sunday	3
2024-01-22	2024	1	1	January	22	Monday	4
2024-01-23	2024	1	1	January	23	Tuesday	4
2024-01-24	2024	1	1	January	24	Wednesday	4
2024-01-25	2024	1	1	January	25	Thursday	4
2024-01-26	2024	1	1	January	26	Friday	4
2024-01-27	2024	1	1	January	27	Saturday	4
2024-01-28	2024	1	1	January	28	Sunday	4
2024-01-29	2024	1	1	January	29	Monday	5
2024-01-30	2024	1	1	January	30	Tuesday	5
2024-01-31	2024	1	1	January	31	Wednesday	5
2024-02-01	2024	1	2	February	1	Thursday	5
2024-02-02	2024	1	2	February	2	Friday	5
2024-02-03	2024	1	2	February	3	Saturday	5
2024-02-04	2024	1	2	February	4	Sunday	5
2024-02-05	2024	1	2	February	5	Monday	6
2024-02-06	2024	1	2	February	6	Tuesday	6
2024-02-07	2024	1	2	February	7	Wednesday	6
2024-02-08	2024	1	2	February	8	Thursday	6
2024-02-09	2024	1	2	February	9	Friday	6
2024-02-10	2024	1	2	February	10	Saturday	6
2024-02-11	2024	1	2	February	11	Sunday	6
2024-02-12	2024	1	2	February	12	Monday	7
2024-02-13	2024	1	2	February	13	Tuesday	7
2024-02-14	2024	1	2	February	14	Wednesday	7
2024-02-15	2024	1	2	February	15	Thursday	7
2024-02-16	2024	1	2	February	16	Friday	7
2024-02-17	2024	1	2	February	17	Saturday	7
2024-02-18	2024	1	2	February	18	Sunday	7
2024-02-19	2024	1	2	February	19	Monday	8
2024-02-20	2024	1	2	February	20	Tuesday	8
2024-02-21	2024	1	2	February	21	Wednesday	8
2024-02-22	2024	1	2	February	22	Thursday	8
2024-02-23	2024	1	2	February	23	Friday	8
2024-02-24	2024	1	2	February	24	Saturday	8
2024-02-25	2024	1	2	February	25	Sunday	8
2024-02-26	2024	1	2	February	26	Monday	9
2024-02-27	2024	1	2	February	27	Tuesday	9
2024-02-28	2024	1	2	February	28	Wednesday	9
2024-02-29	2024	1	2	February	29	Thursday	9
2024-03-01	2024	1	3	March	1	Friday	9
2024-03-02	2024	1	3	March	2	Saturday	9
2024-03-03	2024	1	3	March	3	Sunday	9
2024-03-04	2024	1	3	March	4	Monday	10
2024-03-05	2024	1	3	March	5	Tuesday	10
2024-03-06	2024	1	3	March	6	Wednesday	10
2024-03-07	2024	1	3	March	7	Thursday	10
2024-03-08	2024	1	3	March	8	Friday	10
